facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
743070,GFDC,License,"Peralta De Santana, Yessi",Bronx,10453,Bronx 10,0,0,0,4,12,16
869897,GFDC,License,OUR GODS DREAM INC.,Bronx,10455,Bronx 7,0,0,0,4,12,16
149101,DCC,License,Acorns to Oaks,La Grangeville,12540,Arlington,8,21,45,11,0,85
542628,GFDC,License,"Bacari, Matilde",Brooklyn,11230,Brooklyn 21,0,0,0,4,12,16
406697,FDC,Registration,"Ocampo, Nelly",Levittown,11756,Levittown,0,0,0,2,6,8
873553,DCC,License,KA OF BETHPAGE,Bethpage,11714,Bethpage,16,48,56,24,0,144
550192,SACC,Registration,YMCA Buffalo Niagara,Cheektowaga,14225,Cheektowaga-Maryvale,0,0,0,44,0,44
792875,FDC,Registration,"Brown, Melissa",Utica,13501,Utica,0,0,0,2,6,8
766038,SACC,Registration,Berlow's Taekwondo Academy Inc.,Briarcliff,10510,Ossining,0,0,0,60,0,60
827065,GFDC,License,"Berg, Toni Jo",Ogdensburg,13669,Ogdensburg,0,0,0,2,12,14
709035,GFDC,License,The Golden Age For Kids,Syracuse,13208,Syracuse,0,0,0,4,12,16
344398,GFDC,License,"Madera, Ana",New York,10040,Manhattan 6,0,0,0,4,12,16
880033,FDC,Registration,Dionne's Kidz,Brooklyn,11208,Brooklyn 19,0,0,0,2,6,8
731188,GFDC,License,Tigers Group Family Daycare,Rosedale,11422,Queens 29,0,0,0,4,12,16
869764,FDC,Registration,K'house of diapers daycare,Rochester,14611,Rochester,0,0,0,2,6,8
385855,GFDC,License,MY KIKO'S GROUP FAMILY DAY CARE,Bronx,10460,Bronx 12,0,0,0,4,12,16
311056,GFDC,License,Mi Nido Family Group Inc,Bronx,10462,Bronx 11,0,0,0,4,12,16
138540,GFDC,License,"Ford, Danielle",NEW YORK,10029,Manhattan 4,0,0,0,2,12,14
849909,GFDC,License,"Cordero, Stephanie",bronx,10473,Bronx 8,0,0,0,4,12,16
178839,DCC,License,Family Services of Westchester,White Plains,10605,White Plains,6,14,36,0,0,56
676249,DCC,License,Joint Council for Economic Opportunity,Brushton,12916,Brushton-Moira,0,0,20,0,0,20
368993,GFDC,License,"Myers, Kimberly",Plattsburgh,129012551,Plattsburgh,0,0,0,4,12,16
397430,GFDC,License,"Johanny's Playground Day Care, Inc",NEW YORK,10031,Manhattan 6,0,0,0,4,12,16
39698,DCC,License,"Action for a Better Community, Incorporated",Rochester,14605,Rochester,8,24,53,0,0,85
487209,FDC,Registration,BIG HEARTS LITTLE HANDS FAMILY DAY CARE,Bronx,10472,Bronx 12,0,0,0,2,6,8
355639,GFDC,License,Humble Life Child Care,Poughkeepsie,12603,Poughkeepsie,0,0,0,4,12,16
72869,SACC,Registration,KINGSBRIDGE HGTS COMM. CENTER,Bronx,10463,Bronx 10,0,0,0,95,0,95
689613,SACC,Registration,University Settlement Society @ Atlantic Terminal,Brooklyn,11238,Brooklyn 13,0,0,0,80,0,80
