month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2023-10,B DIVISION,R,1,2325,2129,0.915698925
2023-10,B DIVISION,R,2,1200,1138,0.948333333
2023-10,B DIVISION,S Fkln,1,792,792,1
2023-10,B DIVISION,S Fkln,2,784,780,0.994897959
2023-10,B DIVISION,S Rock,1,462,460,0.995670996
2023-10,B DIVISION,S Rock,2,500,499,0.998
2023-10,B DIVISION,W,1,858,786,0.916083916
2023-10,B DIVISION,W,2,188,151,0.803191489
2023-10,Systemwide,Systemwide,1,46603,43676,0.937192885
2023-10,Systemwide,Systemwide,2,27516,26053,0.946830935
2023-09,A DIVISION,1,1,1596,1499,0.939223058
2023-09,A DIVISION,1,2,1077,1053,0.977715877
2023-09,A DIVISION,2,1,2108,1955,0.927419355
2023-09,A DIVISION,2,2,1583,1510,0.953885028
2023-09,A DIVISION,3,1,1957,1862,0.951456311
2023-09,A DIVISION,3,2,1440,1399,0.971527778
2023-09,A DIVISION,4,1,2622,2470,0.942028986
2023-09,A DIVISION,4,2,2147,2052,0.955752212
2023-09,A DIVISION,5,1,2429,2252,0.927130506
2023-09,A DIVISION,5,2,1404,1323,0.942307692
2023-09,A DIVISION,6,1,1957,1855,0.947879407
2023-09,A DIVISION,6,2,1256,1198,0.953821656
